Unnamed: 0,CARNAME,ID,Make,Model,Body color,Type of finish,Interior color,Interior material,Body,Doors,Seats,VIN,Fuel,Transmission,Drive type,Power,El. motor power,CO2 emissions,Emission class,Battery type,AC charging time,DC charging time,Battery warranty (km),Range extender,Mileage,First registration,Condition,Consumption,Price,Currency,Tags,Engine capacity,Valid MOT until,Previous owners,Engine power,Battery capacity,Hybrid type,Electric range,Warranty until,Weight,Country of origin,Secondary drive,Energy efficiency,Full service history,Battery capacity1
904,citroen c3,61021888,Citroen,C3,Black,,,Cloth interior,Hatchback,,,not published by the seller,Petrol,Automatic,4x2,82 kW,,120 g/km,Euro 6,,,,,,70 220 km,4/2021,,5.9 l/100km (combined),15349,EUR,LED headlights; Heated front seats; Apple CarPlay; Android auto; Traffic sign recognition; Automatic A/C; Rain sensor; Lane assist; Hill-start assist; Front collision warning system,1 199 ccm,,,,,,,,,,,,,
905,hyundai i10,61021895,Hyundai,i10,Black,,,Cloth interior,Hatchback,4/5 doors,,not published by the seller,Petrol,Automatic,4x2,49 kW,,97 g/km,,,,,,,0 km,1/2023,,4.2 l/100km (combined),18299,EUR,,998 ccm,,,,,,,,,,,,,
906,renault captur,61021904,Renault,Captur,Grey,Metallic,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,67 kW,,122 g/km,Euro 6d-TEMP,,,,,,20 572 km,1/2023,Used,5.4 l/100km (combined),18749,EUR,LED headlights; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Traffic sign recognition; Bluetooth; Rain sensor,999 ccm,,,,,,,,1247.0,Germany,,,,
907,volvo xc40,61021898,Volvo,XC40,Black,,,,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,110 kW,,127 g/km,Euro 6,,,,,,114 860 km,10/2018,Used,4.8 l/100km (combined); 5.5 l/100km (city); 4.4 l/100km ,24699,EUR,Front seats with memory; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Keyless ignition; Automatic multi-zone A/C; Panoramic roof; Voice control; Navigation system; Traffic sign recognition,1 969 ccm,,,,,,,12/2024,,,,,,
908,opel astra,61021871,Opel,Astra,Silver,Metallic,Other interior color,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,,127 g/km,Euro 6,,,,,,3 020 km,8/2019,,5.5 l/100km (combined); 7.3 l/100km (city); 4.7 l/100km ,22749,EUR,LED headlights; Heated front seats; Integrated music streaming; Voice control; Navigation system; Heated steering wheel; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning; Rain sensor,1 399 ccm,,2.0,,,,,,,,,,,
909,audi q2,61021878,Audi,Q2,Black,,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,85 kW,,122 g/km,No emission class,,,,,,99 544 km,10/2019,Used,4.7 l/100km (combined); 4.7 l/100km (city); 4.7 l/100km ,24199,EUR,Bluetooth; Rain sensor; Multifunctional steering wheel; Start-stop system; CD player; Front electric windows; Alloy wheels,1 598 ccm,,,,,,,,1310.0,Spain,,,,
910,peugeot expert,61021880,Peugeot,Expert,White,,Other interior color,Part leather interior,Cargo VAN,4/5 doors,3,not published by the seller,Diesel,Manual,4x2,90 kW,,144 g/km,Euro 6d,,,,,,89 500 km,8/2020,,5.5 l/100km (combined); 6.1 l/100km (city); 4.9 l/100km ,21499,EUR,Voice control; Bluetooth; Rain sensor; Light sensor; Hill-start assist; Parking sensors; Side mirrors with electic adjustment; Daytime running lights; On-board computer; Start-stop system,1 997 ccm,,1.0,,,,,,,,,,,
911,opel combo,61021883,Opel,Combo,Blue,Metallic,Other interior color,Other interior material,Cargo VAN,4/5 doors,,not published by the seller,Petrol,Automatic,4x2,96 kW,,119 g/km,No emission class,,,,,,500 km,11/2022,Demonstration car,5.2 l/100km (combined); 8.2 l/100km (city); 6.9 l/100km ,33549,EUR,Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Navigation system; Heated steering wheel; Traffic sign recognition; Bluetooth; Automatic A/C; High beam assist,1 200 ccm,,,,,,,,,,,,,
912,ford focus,61021879,Ford,Focus,White,,Other interior color,Cloth interior,Sedans / saloons,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,88 kW,,101 g/km,Euro 6d-TEMP,,,,,,87 900 km,12/2019,,3.9 l/100km (combined); 4.3 l/100km (city); 3.6 l/100km ,19399,EUR,LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; WLAN/Wifi hotspot; Keyless ignition; Panoramic roof; Voice control; Navigation system; Heated steering wheel,1 499 ccm,,1.0,,,,,,,,,,,
913,citroen c4-picasso,61021875,Citroen,C4 Picasso,Beige,,,,MPV,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,88 kW,,103 g/km,Euro 6,,,,,,80 073 km,3/2018,Used,3.9 l/100km (combined),16849,EUR,Automatic multi-zone A/C; Automatic lights; Rain sensor; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; Leather steering wheel; Electrically foldable side mirrors,1 560 ccm,,,,,,,12/2024,,,,,,
914,audi q3,61021877,Audi,Q3,Grey,,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,,135 g/km,Euro 6,,,,,,59 000 km,10/2020,,6.5 l/100km (combined),37249,EUR,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Keyless ignition; Voice control; Navigation system; El. tailgate; Sport front seats,1 498 ccm,,1.0,,,,,,,,,,,
915,audi sq5,61021882,Audi,SQ5,Grey,Metallic,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,251 kW,,185 g/km,Euro 6d,,,,,,10 km,10/2023,,7 l/100km (combined),77849,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition,2 967 ccm,,,,,,,,2149.0,,,,,
916,audi q4,61021869,Audi,Q4,Silver,Metallic,Other interior color,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Manual,4x4,195 kW,,0 g/km,No emission class,,,,,,5 000 km,5/2023,Used,0 kWh/100km (combined),70249,EUR,LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Navigation system; Heated steering wheel; El. tailgate; Paddle shifters; Sport front seats; Traffic sign recognition,,,,,,,,,2215.0,,,,,
917,opel combo,61021886,Opel,Combo,Blue,,Grey interior,Cloth interior,Cargo VAN,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,75 kW,,110 g/km,Euro 6d-TEMP,,,,,,145 000 km,9/2019,,4.2 l/100km (combined); 4.5 l/100km (city); 4 l/100km ,13099,EUR,Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Voice control; Navigation system; Traffic sign recognition; Bluetooth; Rain sensor; Light sensor,1 499 ccm,,1.0,,,,,,,,,,,
918,opel combo,61021887,Opel,Combo,Grey,Metallic,Grey interior,Other interior material,Cargo VAN,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,96 kW,,119 g/km,Euro 6d,,,,,,6 000 km,11/2022,,5.2 l/100km (combined); 8.3 l/100km (city); 5.9 l/100km ,36849,EUR,Parking assist system self-steering; Heated front seats; Head-up display; Keyless ignition; Voice control; Navigation system; Heated steering wheel; Traffic sign recognition; Bluetooth; High beam assist,1 199 ccm,,1.0,,,,,,,,,,,
919,subaru solterra,61021876,Subaru,Solterra,Blue,Metallic,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x4,160 kW,,0 g/km,No emission class,,,,,,17 500 km,6/2022,Demonstration car,0 kWh/100km (combined),52299,EUR,LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Harman/Kardon audio; Heated front seats; Android auto; Keyless ignition; Panoramic roof; Navigation system,,,,,,,,,2010.0,Netherlands,,,,
920,renault captur,61021873,Renault,Captur,White,,Black interior,,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,74 kW,,116 g/km,Euro 6,,,,,,11 753 km,9/2020,Used,5.1 l/100km (combined); 6.1 l/100km (city); 4.6 l/100km ,17399,EUR,Navigation system,999 ccm,,,,,,,12/2024,,,,,,
921,dacia duster,61021849,Dacia,Duster,White,,,,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,96 kW,,141 g/km,Euro 6,,,,,,5 996 km,3/2023,Used,5.9 l/100km (combined),22449,EUR,Navigation system; Rear parking camera; Automatic A/C; Automatic lights; Rain sensor; Blind spot assist; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights,1 332 ccm,,1.0,,,,,12/2024,,,,,,
922,renault koleos,61021853,Renault,Koleos,Grey,Metallic,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,135 kW,,175 g/km,Euro 6d-TEMP,,,,,,15 km,12/2023,,6.7 l/100km (combined); 8.1 l/100km (city); 5.8 l/100km ,49549,EUR,Driver's seat with massage function; Ventilated front seats; Parking assist system self-steering; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto,1 997 ccm,,,,,,,,,,,,,
923,peugeot 208,61021855,Peugeot,208,Black,,,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,81 kW,,106 g/km,Euro 6,,,,,,46 739 km,6/2018,Used,4.4 l/100km (combined),14399,EUR,Rear parking camera,1 199 ccm,,,,,,,12/2024,,,,,,
924,audi a4,61021859,Audi,A4,Blue,Metallic,Grey interior,Cloth interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,150 kW,,129 g/km,Euro 6d,,,,,No,20 km,9/2023,New,5.6 l/100km (combined),43549,EUR,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Navigation system,1 984 ccm,,,,,Mild hybrid,,,1560.0,,,,,
925,volkswagen id.5,61021846,Volkswagen,ID.5,White,,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,128 kW,,0 g/km,No emission class,,,,,,4 000 km,6/2022,Used,17.6 kWh/100km (combined),63249,EUR,LED headlights; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Navigation system; Automatic A/C; Lane assist; Parking sensors,,,,,,,,,2169.0,,,,,
926,audi q3,61021868,Audi,Q3,White,,,,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,,135 g/km,,,,,,,5 km,1/2023,New,6.5 l/100km (combined),45549,EUR,LED headlights; Digital cockpit; Navigation system; Bluetooth; Automatic A/C; High beam assist; Side mirrors with electic adjustment; Daytime running lights; Alarm; Start-stop system,1 498 ccm,,,,,,,,,,,,,
927,volkswagen touareg,61021854,Volkswagen,Touareg,Black,Metallic,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,210 kW,,184 g/km,Euro 6d-TEMP,,,,,,57 165 km,4/2019,,8.2 l/100km (combined); 7.7 l/100km (city); 5.9 l/100km ,53099,EUR,Heated rear seats; Air suspension; Parking assist system self-steering; LED headlights; Keyless entry; Front seats with memory; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display,2 967 ccm,05/2024,2.0,,,,,,,,,,,
928,renault scenic,61021848,Renault,Scenic,White,,,,MPV,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,88 kW,,127 g/km,Euro 6,,,,,,60 116 km,6/2020,Used,4.8 l/100km (combined),17949,EUR,Keyless ignition; Automatic multi-zone A/C; Voice control; Navigation system; Glare-free high beam headlights; Traffic sign recognition; Automatic lights; Rain sensor; Lane assist; Hill-start assist,1 749 ccm,,1.0,,,,,12/2024,,,,,,
929,suzuki ignis,61021847,Suzuki,Ignis,Green,Metallic,Other interior color,Other interior material,SUV / offroad,4/5 doors,4,not published by the seller,Hybrid,Manual,4x2,61 kW,,89 g/km,Euro 6,,,,,,31 000 km,9/2020,,3.9 l/100km (combined); 4.2 l/100km (city); 3.8 l/100km ,15599,EUR,Bluetooth; Alloy wheels,1 197 ccm,,,,,,,,,,,,,
930,mercedes-benz gle-400,61021845,Mercedes-Benz,GLE 400,White,,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,243 kW,,199 g/km,Euro 6d,,,,,,83 108 km,12/2019,,8.7 l/100km (combined); 9.1 l/100km (city); 6.7 l/100km ,69049,EUR,Driver's seat with massage function; Ventilated front seats; Heated rear seats; Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control,2 925 ccm,,,,,,,,,,,,,
931,subaru solterra,61021850,Subaru,Solterra,Grey,,,,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x4,160 kW,,0 g/km,,,,,,,1 km,1/2023,New,0 kWh/100km (combined),60649,EUR,Harman/Kardon audio,,,,,,,,,,,,,,
932,volvo xc40,61021863,Volvo,XC40,Red,,,,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,,131 g/km,Euro 6,,,,,,49 699 km,12/2018,Used,5 l/100km (combined); 5.4 l/100km (city); 4.7 l/100km ,28299,EUR,Voice control; Traffic sign recognition; Rear parking camera; Adaptive lighting; Automatic A/C; Rain sensor; Lane assist; Hill-start assist; Front collision warning system; Autom. dimming side mirros,1 969 ccm,,1.0,,,,,12/2024,,,,,,
933,porsche macan,61021861,Porsche,Macan,Black,Metallic,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,180 kW,,185 g/km,Euro 6d-TEMP,,,,,,39 000 km,5/2019,Used,8.1 l/100km (combined); 8.1 l/100km (city); 8.1 l/100km ,63749,EUR,LED headlights; Electric adjustable front seats; Heated front seats; Panoramic roof; Navigation system; Paddle shifters; Bluetooth; Automatic A/C; Rain sensor; Light sensor,1 984 ccm,,,,,,,,1870.0,,,,,
934,peugeot 308,61021866,Peugeot,308,,,Other interior color,Other interior material,Station Wagon,4/5 doors,,not published by the seller,Petrol,Automatic,4x2,96 kW,,131 g/km,No emission class,,,,,No,1 km,8/2023,New,5.8 l/100km (combined); 5.8 l/100km (city); 5.8 l/100km ,32699,EUR,LED headlights; Digital cockpit; Keyless entry; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; Keyless ignition; Navigation system; Traffic sign recognition,1 199 ccm,,,,,Plug-in hybrid,,,1420.0,,,,,
935,opel combo,61021852,Opel,Combo,White,,Brown interior,Cloth interior,Cargo VAN,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,81 kW,,125 g/km,Euro 6d-TEMP,,,,,,25 851 km,9/2019,Used,5.5 l/100km (combined),21499,EUR,Heated front seats; Panoramic roof; Navigation system; Heated steering wheel; Traffic sign recognition; Automatic 2-zones air conditioning; High beam assist; Rain sensor; Light sensor; Lane assist,1 199 ccm,,,,,,,,1431.0,Germany,,,,
936,smart fortwo,61021858,Smart,ForTwo,White,,Black interior,Cloth interior,Hatchback,2/3 doors,2,not published by the seller,Petrol,Automatic,4x2,66 kW,,97 g/km,Euro 6,,,,,,69 998 km,9/2017,,4.2 l/100km (combined); 4.9 l/100km (city); 3.8 l/100km ,13749,EUR,LED headlights; Heated front seats; Integrated music streaming; Voice control; Navigation system; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Hill-start assist,898 ccm,,2.0,,,,,,,,,,,
937,mercedes-benz eqb,61021851,Mercedes-Benz,EQB,Black,,Other interior color,Other interior material,SUV / offroad,4/5 doors,,not published by the seller,Electric,Automatic,4x2,140 kW,,0 g/km,No emission class,,,,,,5 000 km,12/2022,Used,0 kWh/100km (combined),50599,EUR,LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition; Voice control; Navigation system,1 ccm,,,,,,,,,Germany,,,,
938,mazda cx-3,61021867,Mazda,CX-3,White,,Other interior color,Other interior material,SUV / offroad,4/5 doors,,not published by the seller,Petrol,Manual,4x2,89 kW,,141 g/km,No emission class,,,,,,48 000 km,2/2019,Used,6.2 l/100km (combined); 6.2 l/100km (city); 6.2 l/100km ,20049,EUR,,2 000 ccm,,,,,,,,,Spain,,,,
939,peugeot 208,61021862,Peugeot,208,White,,,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,50 kW,,108 g/km,Euro 6,,,,,,124 260 km,12/2016,Used,4.6 l/100km (combined); 5.8 l/100km (city); 3.9 l/100km ,9849,EUR,On-board computer; USB; AUX; Front electric windows,1 199 ccm,,,,,,,08/2024,,,,,,
940,audi a3,61021831,Audi,A3,White,,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,,115 g/km,Euro 6d-TEMP,,,,,,15 km,9/2023,New,5.6 l/100km (combined); 5.5 l/100km (city); 5.5 l/100km ,36599,EUR,LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Navigation system; Paddle shifters; Bluetooth,1 498 ccm,,,,,,,,,,,,,
941,citroen c4-x,61021828,Citroen,C4 X,Black,Metallic,Black interior,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,96 kW,,0 g/km,Euro 6,,,,,,0 km,9/2023,,0 l/100km (combined),24749,EUR,Side mirrors with electic adjustment; Leather steering wheel,1 499 ccm,,,,,,,,,Italy,,,,
942,lexus nx-300,61021821,Lexus,NX 300,Blue,,,,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,145 kW,,128 g/km,Euro 6,,,,,No,16 897 km,12/2020,Used,5.8 l/100km (combined); 5.8 l/100km (city); 5.7 l/100km ,39699,EUR,Adaptive cruise control; Keyless ignition; Automatic multi-zone A/C; Voice control; Navigation system; Paddle shifters; Traffic sign recognition; Rear parking camera; Adaptive lighting; Automatic lights,2 494 ccm,,,,2 kWh,,,12/2026,,,Petrol,,,
943,mercedes-benz e-250,61021839,Mercedes-Benz,E 250,White,,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,155 kW,,138 g/km,Euro 6,,,,,,115 000 km,1/2017,,6.2 l/100km (combined); 7.8 l/100km (city); 5.2 l/100km ,27849,EUR,Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Electric adjustable front seats; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system,1 991 ccm,,,,,,,,,,,,,
944,fiat 500,61021832,Fiat,500,Grey,Metallic,Grey interior,Cloth interior,Hatchback,2/3 doors,4,not published by the seller,Electric,Automatic,4x2,70 kW,70 kW,0 g/km,No emission class,Lithium-ion (Li-ion),3 h,30 min,160000 km,No,19 000 km,7/2021,Used,,23099,EUR,LED headlights; Digital cockpit; Keyless entry; Apple CarPlay; Android auto; Keyless ignition; Panoramic roof; Voice control; Navigation system; Bluetooth,,,,,24 kWh,,,,1365.0,,,,,
945,tesla model-y,61021824,Tesla,Model Y,Black,,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x4,393 kW,235 kW,0 g/km,No emission class,Lithium-ion (Li-ion),8 h,22 min,160000 km,No,13 500 km,9/2022,Used,17.1 kWh/100km (combined),58099,EUR,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; WLAN/Wifi hotspot; Integrated music streaming; Keyless ignition; Panoramic roof,,,,,,,,,,Germany,,,,
946,kia ev9,61021829,Kia,EV9,Green,Metallic,Other interior color,Other interior material,SUV / offroad,4/5 doors,7,not published by the seller,Electric,Automatic,4x4,283 kW,,0 g/km,No emission class,,,,,,10 km,11/2023,Used,0 kWh/100km (combined),82299,EUR,Ventilated front seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay,,,,,,,,,2564.0,,,,,
947,opel combo,61021840,Opel,Combo,Blue,,Other interior color,Cloth interior,Cargo VAN,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,96 kW,,119 g/km,Euro 6d,,,,,,16 223 km,12/2021,,5.2 l/100km (combined); 6.4 l/100km (city); 5.1 l/100km ,32599,EUR,Apple CarPlay; Android auto; Keyless ignition; Voice control; Paddle shifters; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning; High beam assist; Rain sensor,1 199 ccm,,1.0,,,,,,,,,,,
948,renault master,61021838,Renault,Master,White,,Black interior,Cloth interior,Cargo VAN,,3,not published by the seller,Diesel,Manual,4x2,120 kW,,225 g/km,Euro 6d-TEMP,,,,,,12 705 km,2/2022,,8.6 l/100km (combined),33149,EUR,Navigation system; Bluetooth; Rain sensor; Light sensor; Daytime running lights; On-board computer; Start-stop system; USB; Front electric windows,2 299 ccm,,1.0,,,,,,,,,,,
949,bmw m4,61021823,BMW,M4,Grey,Metallic,Black interior,,Coupe,2/3 doors,4,not published by the seller,Petrol,Automatic,4x2,317 kW,,197 g/km,Euro 6,,,,,,70 153 km,3/2015,Used,8.4 l/100km (combined); 11.6 l/100km (city); 7.9 l/100km ,57399,EUR,Harman/Kardon audio; Blind spot assist,2 979 ccm,,,,,,,12/2024,,,,,,
950,audi q4,61021836,Audi,Q4,Black,Metallic,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Manual,4x4,195 kW,,0 g/km,No emission class,,,,,,3 500 km,9/2023,Used,0 kWh/100km (combined),72699,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Head-up display; Keyless ignition; Navigation system; El. tailgate,,,,,,,,,2230.0,,,,,
951,chevrolet camaro,61021833,Chevrolet,Camaro,Black,Metallic,Other interior color,Full leather interior,Coupe,2/3 doors,4,not published by the seller,Petrol,Automatic,4x2,233 kW,,304 g/km,Euro 5,,,,,,164 000 km,1/2011,Used,13.1 l/100km (combined); 13.1 l/100km (city); 13.1 l/100km ,17949,EUR,Electric adjustable front seats; Heated front seats; Bluetooth; Xenon headlights; Sport-suspension system; Leather; Automatic A/C; Light sensor; Side mirrors with electic adjustment; Daytime running lights,3 600 ccm,,,,,,,,1795.0,,,,,
952,volkswagen polo,61021825,Volkswagen,Polo,Black,Metallic,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,70 kW,,109 g/km,Euro 6d-TEMP,,,,,,45 072 km,1/2020,,4.8 l/100km (combined),17299,EUR,Digital cockpit; Keyless entry; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Keyless ignition; Navigation system,999 ccm,,2.0,,,,,,,,,,,
953,ford fiesta,61021834,Ford,Fiesta,Blue,Metallic,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,55 kW,,102 g/km,No emission class,,,,,,16 900 km,3/2020,,5.3 l/100km (combined),17899,EUR,Side mirrors with electic adjustment; On-board computer; Start-stop system; Front electric windows; Fixed trailer coupling,1 084 ccm,,,,,,,,,,,,,
954,kia optima,61021835,Kia,Optima,Black,,Black interior,Full leather interior,Station Wagon,4/5 doors,,not published by the seller,Diesel,Automatic,4x2,104 kW,,120 g/km,Euro 6,,,,,,116 340 km,2/2017,,4.5 l/100km (combined),17199,EUR,Heated rear seats; LED headlights; Electric adjustable front seats; Adaptive cruise control; Harman/Kardon audio; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; Panoramic roof,1 685 ccm,,,,,,,,,,,,,
955,peugeot 2008,61021806,Peugeot,2008,White,Metallic,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,81 kW,,98 g/km,Euro 6d-TEMP,,,,,,7 000 km,12/2022,Used,3.7 l/100km (combined); 3.7 l/100km (city); 3.7 l/100km ,29249,EUR,LED headlights; Head-up display; Navigation system; Traffic sign recognition; Rain sensor; Light sensor; Side mirrors with electic adjustment; Alloy wheels,1 499 ccm,,,,,,,,1280.0,,,,,
956,volkswagen golf,61021817,Volkswagen,Golf,White,,Black interior,Alcantara interior,Hatchback,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,150 kW,85 kW,109 g/km,Euro 6,Lithium-ion (Li-ion),4 h,,,No,27 000 km,7/2021,Used,4.8 l/100km (combined),33649,EUR,LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Navigation system; Heated steering wheel; Sport front seats; Bluetooth,1 395 ccm,,,110 kW,13 kWh,Plug-in hybrid,,,1624.0,,,,,
957,citroen berlingo,61021810,Citroen,Berlingo,White,,Black interior,Cloth interior,Cargo VAN,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,81 kW,,130 g/km,Euro 6d-TEMP,,,,,,46 100 km,6/2019,,5.7 l/100km (combined); 6.7 l/100km (city); 5.1 l/100km ,25699,EUR,Parking assist system self-steering; Keyless entry; Adaptive cruise control; Heated front seats; Head-up display; Smartphone mirroring; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition,1 199 ccm,08/2025,1.0,,,,,,,,,,,
958,bmw ix1,61021813,BMW,iX1,Silver,,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,WBY61EF0205Y35157,Electric,Automatic,4x4,230 kW,,0 g/km,,,,,,,10 km,1/2023,New,0 kWh/100km (combined),66799,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Front seats with memory; Electric adjustable front seats; Harman/Kardon audio; Heated front seats; Apple CarPlay; Android auto,,,,,,,,,,,,,,
959,bmw ix1,61021813,BMW,iX1,Silver,,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,WBY61EF0205Y35157,Electric,Automatic,4x4,230 kW,,0 g/km,,,,,,,10 km,1/2023,New,0 kWh/100km (combined),66799,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Front seats with memory; Electric adjustable front seats; Harman/Kardon audio; Heated front seats; Apple CarPlay; Android auto,,,,,,,,,,,,,,
960,smart forfour,61021812,Smart,ForFour,Grey,Metallic,Black interior,Full leather interior,Hatchback,4/5 doors,4,not published by the seller,Petrol,Automatic,4x2,66 kW,,118 g/km,Euro 6,,,,,,39 900 km,5/2019,,5.2 l/100km (combined); 6.1 l/100km (city); 4.6 l/100km ,16749,EUR,LED headlights; Heated front seats; Apple CarPlay; Integrated music streaming; Navigation system; Paddle shifters; Sport front seats; Bluetooth; Sport-suspension system; Leather,898 ccm,,,,,,,,,,,,,
961,audi a3,61021814,Audi,A3,White,Metallic,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,110 kW,,123 g/km,Euro 6,,,,,,70 722 km,5/2019,,5.4 l/100km (combined); 6.9 l/100km (city); 4.7 l/100km ,21999,EUR,Parking assist system self-steering; Keyless entry; Heated front seats; Keyless ignition; Voice control; Navigation system; Sport front seats; Bi-xenon headlights; Bluetooth; Automatic 2-zones air conditioning,1 498 ccm,,2.0,,,,,,,,,,,
