CARNAME,ID,Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,Fuel,Transmission,Drive type,Power(kW),CO2 emissions(g/km),Emission class,Mileage(km),First registration,Condition,Consumption(l/100km or kWh/100km),Price(EUR),Previous owners,Engine capacity(ccm),Tags
volkswagen touran,61184899,Volkswagen,Touran,White,Black interior,Alcantara interior,MPV,4/5 doors,7,Diesel,Automatic,4x2,110,138,Euro 6d,97300,01/04/2019,Used,4.9,25849,0,1968,LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Keyless ignition; Navigation system; El. tailgate; Traffic sign recognition; Bluetooth; Alcantara interior
ford fiesta,61184885,Ford,Fiesta,Red,Other interior color,Cloth interior,Hatchback,4/5 doors,5,Diesel,Manual,4x2,63,136,Euro 6d-TEMP,87000,01/08/2020,Used,6,14849,0,1499,LED headlights; Apple CarPlay; Android auto; Sport front seats; Bluetooth; Sport-suspension system; Automatic A/C; Rain sensor; Light sensor; Multifunctional steering wheel
audi a1,61184878,Audi,A1,White,Other interior color,Other interior material,Hatchback,4/5 doors,5,Petrol,Manual,4x2,70,119,Euro 6,20000,01/12/2022,Used,5.2,24749,0,999,Bluetooth; Side mirrors with electic adjustment; Alloy wheels
bmw 330,61184884,BMW,330,Blue,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,195,0,Euro 6d-TEMP,48423,01/11/2019,Used,4.8,42599,0,2993,Laser headlights; Parking assist system self-steering; Digital cockpit; Keyless entry; Electric adjustable front seats; Heated front seats; Head-up display; WLAN/Wifi hotspot; Keyless ignition; Panoramic roof
volkswagen tiguan-allspace,61184892,Volkswagen,Tiguan Allspace,Black,Other interior color,Alcantara interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,110,136,Euro 6d-TEMP,74490,01/09/2020,Used,5.2,29699,2,1968,Parking assist system self-steering; Digital cockpit; Adaptive cruise control; Heated front seats; Voice control; Navigation system; El. tailgate; Paddle shifters; Traffic sign recognition; Bluetooth
audi q3,61184889,Audi,Q3,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x2,110,124,Euro 6d,23876,01/02/2023,Used,4.7,39349,1,1968,Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control
volkswagen caddy,61184890,Volkswagen,Caddy,White,Grey interior,Cloth interior,Cargo VAN,4/5 doors,5,Diesel,Manual,4x2,75,143,Euro 6d-TEMP,155444,01/12/2019,Used,5.5,15849,0,1968,Bluetooth; Hill-start assist; Side mirrors with electic adjustment; On-board computer; CD player; USB; Front electric windows; Alloy wheels
renault captur,61184880,Renault,Captur,White,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,66,125,No emission class,33621,01/10/2019,Used,5.5,15699,0,898,LED headlights; Heated front seats; Apple CarPlay; Android auto; Voice control; Navigation system; Bluetooth; Automatic A/C; Rain sensor; Light sensor
volvo xc90,61184879,Volvo,XC90,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,7,Hybrid,Automatic,4x4,288,147,Euro 6d,43281,01/11/2020,Used,5.6,48449,1,1969,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control
mercedes-benz a-180,61184891,Mercedes-Benz,A 180,Black,Black interior,Cloth interior,Hatchback,4/5 doors,5,Diesel,Automatic,4x2,85,132,Euro 6,41078,01/12/2021,Used,5,30999,0,1950,Bluetooth; USB
kia xceed,61184888,Kia,XCeed,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Manual,4x2,100,129,Euro 6,17028,01/03/2023,Used,4.9,32099,1,1598,Front seats with memory; Keyless ignition; Automatic multi-zone A/C; Navigation system; Traffic sign recognition; Rear parking camera; Automatic lights; Rain sensor; Lane assist; Blind spot assist
peugeot boxer,61184877,Peugeot,Boxer,White,Black interior,Cloth interior,Cargo VAN,4/5 doors,3,Diesel,Manual,4x2,103,186,Euro 6,2500,01/04/2023,Used,10.9,42399,1,2179,Navigation system; Rear parking camera; Automatic A/C; Automatic lights; Rain sensor; Hill-start assist; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; Leather steering wheel
volkswagen tiguan,61184887,Volkswagen,Tiguan,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x2,110,128,Euro 6,101455,01/07/2020,Used,4.9,24999,1,1968,Bluetooth; Multifunctional steering wheel; Daytime running lights; Front electric windows; Alloy wheels
toyota c-hr,61184881,Toyota,C-HR,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x2,90,106,Euro 6,29167,01/10/2022,Used,4.7,29949,0,1798,Adaptive cruise control; Heated front seats; Keyless ignition; Automatic multi-zone A/C; Sport front seats; Traffic sign recognition; Rear parking camera; Adaptive lighting; Automatic lights; Rain sensor
kia xceed,61184893,Kia,XCeed,Silver,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x2,104,29,No emission class,0,01/09/2023,New,1.2,43749,0,1580,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition
bmw x2,61184886,BMW,X2,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,100,139,Euro 6,47900,01/12/2020,Used,5.8,27249,0,1499,LED headlights; Automatic multi-zone A/C; Navigation system; Sport front seats; Rear parking camera; Leather steering wheel
honda civic,61184848,Honda,Civic,Black,Other interior color,Cloth interior,Sedans / saloons,4/5 doors,5,Petrol,Manual,4x2,235,178,Euro 6d,66759,01/06/2020,Used,7.8,40249,2,1996,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Keyless ignition; Voice control
peugeot 208,61184903,Peugeot,208,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,55,94,Euro 6,48184,01/06/2020,Used,5.3,13399,1,1199,Head-up display; Traffic sign recognition; Automatic lights; Lane assist; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; On-board computer
opel crossland,61184907,Opel,Crossland,Silver,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,96,107,Euro 6,59600,01/02/2019,Used,4.7,16849,2,1199,LED headlights; Heated front seats; Integrated music streaming; Panoramic roof; Navigation system; Heated steering wheel; El. tailgate; Bluetooth; Automatic 2-zones air conditioning; High beam assist
volkswagen golf,61184908,Volkswagen,Golf,Silver,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,96,116,Euro 6d,22093,01/05/2022,Demonstration car,5.1,24549,2,1498,LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Heated steering wheel
peugeot 3008,61184896,Peugeot,3008,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x2,165,99,Euro 6,20300,01/10/2022,Used,3.8,44499,1,1598,Adaptive cruise control; Keyless ignition; Automatic multi-zone A/C; Voice control; Navigation system; Traffic sign recognition; Rear parking camera; Automatic lights; Rain sensor; Lane assist
ford kuga,61184902,Ford,Kuga,White,Other interior color,Part leather interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x2,165,118,Euro 6d-TEMP,26490,01/02/2021,Used,5.1,32999,1,2488,Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay
skoda octavia,61184897,Skoda,Octavia,Grey,Other interior color,Alcantara interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x2,110,119,Euro 6,140605,01/06/2020,Used,4.6,16299,1,1968,LED headlights; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Navigation system; El. tailgate; Traffic sign recognition; Automatic 2-zones air conditioning; Alcantara interior
citroen berlingo,61184894,Citroen,Berlingo,White,Other interior color,Other interior material,Cargo VAN,4/5 doors,5,Diesel,Manual,4x2,75,107,No emission class,57127,01/06/2020,Used,4.1,22549,0,1499,Bluetooth; Automatic A/C; High beam assist; Rain sensor; Multifunctional steering wheel; Side mirrors with electic adjustment; Front electric windows; Alloy wheels
kia ceed,61184898,Kia,Ceed,Grey,Grey interior,Part leather interior,Station Wagon,4/5 doors,5,Hybrid,Automatic,4x2,130,130,Euro 6,49892,01/07/2021,Used,5.7,27399,0,1482,Keyless entry; Adaptive cruise control; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; Heated steering wheel; Paddle shifters; Sport front seats
subaru outback,61184904,Subaru,Outback,Green,Black interior,Other interior material,Station Wagon,4/5 doors,5,Petrol,Automatic,4x4,124,169,Euro 6d,4500,01/05/2023,Demonstration car,8.6,43999,1,2498,Heated rear seats; LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control
volkswagen touran,61184899,Volkswagen,Touran,White,Black interior,Alcantara interior,MPV,4/5 doors,7,Diesel,Automatic,4x2,110,138,Euro 6d,97300,01/04/2019,Used,4.9,25849,0,1968,LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Keyless ignition; Navigation system; El. tailgate; Traffic sign recognition; Bluetooth; Alcantara interior
nissan qashqai,61184905,Nissan,Qashqai,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,117,122,Euro 6d-TEMP,37600,01/02/2020,Used,5.8,24999,1,1332,Parking assist system self-steering; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition; Panoramic roof
ford ranger,61184901,Ford,Ranger,Grey,Black interior,Cloth interior,Pick-up,4/5 doors,5,Diesel,Automatic,4x4,157,233,Euro 6,22474,01/11/2021,Used,10.6,53349,1,1995,Electric adjustable front seats; Heated front seats; Automatic multi-zone A/C; Voice control; Traffic sign recognition; Rear parking camera; Xenon headlights; Automatic lights; Rain sensor; Lane assist
ford c-max,61184900,Ford,C-Max,Silver,Black interior,Cloth interior,MPV,4/5 doors,5,Petrol,Manual,4x2,110,152,Euro 5,103237,01/01/2013,Used,6.4,13899,2,1596,Parking assist system self-steering; Electric adjustable front seats; Heated front seats; Integrated music streaming; Voice control; Navigation system; El. tailgate; Bluetooth; Automatic 2-zones air conditioning; Rain sensor
ford fiesta,61184885,Ford,Fiesta,Red,Other interior color,Cloth interior,Hatchback,4/5 doors,5,Diesel,Manual,4x2,63,136,Euro 6d-TEMP,87000,01/08/2020,Used,6,14849,0,1499,LED headlights; Apple CarPlay; Android auto; Sport front seats; Bluetooth; Sport-suspension system; Automatic A/C; Rain sensor; Light sensor; Multifunctional steering wheel
volkswagen tiguan,61184887,Volkswagen,Tiguan,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x2,110,128,Euro 6,101455,01/07/2020,Used,4.9,24999,1,1968,Bluetooth; Multifunctional steering wheel; Daytime running lights; Front electric windows; Alloy wheels
audi a1,61184878,Audi,A1,White,Other interior color,Other interior material,Hatchback,4/5 doors,5,Petrol,Manual,4x2,70,119,Euro 6,20000,01/12/2022,Used,5.2,24749,0,999,Bluetooth; Side mirrors with electic adjustment; Alloy wheels
bmw 330,61184884,BMW,330,Blue,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,195,0,Euro 6d-TEMP,48423,01/11/2019,Used,4.8,42599,0,2993,Laser headlights; Parking assist system self-steering; Digital cockpit; Keyless entry; Electric adjustable front seats; Heated front seats; Head-up display; WLAN/Wifi hotspot; Keyless ignition; Panoramic roof
volkswagen tiguan-allspace,61184892,Volkswagen,Tiguan Allspace,Black,Other interior color,Alcantara interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,110,136,Euro 6d-TEMP,74490,01/09/2020,Used,5.2,29699,2,1968,Parking assist system self-steering; Digital cockpit; Adaptive cruise control; Heated front seats; Voice control; Navigation system; El. tailgate; Paddle shifters; Traffic sign recognition; Bluetooth
kia xceed,61184893,Kia,XCeed,Silver,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x2,104,29,No emission class,0,01/09/2023,New,1.2,43749,0,1580,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition
volvo xc90,61184879,Volvo,XC90,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,7,Hybrid,Automatic,4x4,288,147,Euro 6d,43281,01/11/2020,Used,5.6,48449,1,1969,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control
peugeot 2008,61184845,Peugeot,2008,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Manual,4x2,81,116,Euro 6,62343,01/03/2021,Used,4.4,19549,0,1499,Traffic sign recognition; Automatic lights; Rain sensor; Lane assist; Hill-start assist; Front collision warning system; Autom. dimming side mirros; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights
skoda karoq,61184846,Skoda,Karoq,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,110,123,No emission class,50,01/09/2023,New,5.4,36299,0,1498,Heated rear seats; LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Voice control; Heated steering wheel; Sport front seats
audi sq5,61184850,Audi,SQ5,White,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,255,172,Euro 6d-TEMP,92430,01/10/2018,Used,6.6,44699,1,2967,Ventilated front seats; Heated rear seats; Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats
audi a3,61184854,Audi,A3,White,Black interior,Part leather interior,Hatchback,4/5 doors,5,Hybrid,Automatic,4x2,150,117,Euro 6d,93000,01/03/2018,Used,5.2,22149,0,1395,LED headlights; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system
fiat 500,61184847,Fiat,500,Grey,Other interior color,Other interior material,Hatchback,2/3 doors,4,Electric,Automatic,4x2,70,0,No emission class,2000,01/07/2021,Used,5.534431978,23149,0,1499,Electric adjustable front seats; Navigation system; Traffic sign recognition; Rain sensor; Light sensor; Lane assist; Side mirrors with electic adjustment; Alloy wheels
fiat panda,61184861,Fiat,Panda,Grey,Other interior color,Other interior material,Hatchback,4/5 doors,4,Petrol,Manual,4x2,51,89,Euro 6,12657,01/05/2022,Used,3.9,13899,0,999,Keyless entry; Keyless ignition; Bluetooth; Hill-start assist; Start-stop system; USB; Front electric windows
renault arkana,61184876,Renault,Arkana,White,Beige interior,Cloth interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x2,107,110,Euro 6,12895,01/03/2022,Used,4.8,31199,1,1598,Electric adjustable front seats; Adaptive cruise control; Heated front seats; Heated steering wheel; Rear parking camera; Automatic A/C; Blind spot assist; Leather steering wheel; Ambient lighting; Front electric windows
peugeot 2008,61184867,Peugeot,2008,White,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,96,118,Euro 6d-TEMP,37188,01/08/2020,Used,6,28249,0,1199,LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; Sport front seats; Traffic sign recognition
bmw 318,61184842,BMW,318,Black,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,Petrol,Automatic,4x2,115,142,Euro 6d,64499,01/11/2021,Used,6.3,27849,1,1998,LED headlights; Digital cockpit; Keyless entry; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition; Voice control; Navigation system; Traffic sign recognition
peugeot 208,61184826,Peugeot,208,Red,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Manual,4x2,74,97,Euro 6,26778,01/07/2020,Used,5.3,18899,1,1199,Digital cockpit; Heated front seats; Bluetooth; Automatic A/C; Automatic lights; Rain sensor; Hill-start assist; Autom. dimming side mirros; Daytime running lights; Electrically heated side mirrors
jeep compass,61184829,Jeep,Compass,White,Other interior color,Part leather interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,125,160,Euro 6,85758,01/10/2018,Used,6.9,25799,0,1368,Keyless entry; Heated front seats; Apple CarPlay; Android auto; Navigation system; Heated steering wheel; Bluetooth; Xenon headlights; Automatic A/C; Rain sensor
ford tourneo-custom,61184835,Ford,Tourneo Custom,Grey,Black interior,Full leather interior,MPV/VAN,4/5 doors,5,Diesel,Manual,4x2,125,168,Euro 6,25300,01/03/2019,Used,6.5,41799,2,1995,Adaptive cruise control; Heated front seats; Navigation system; Bluetooth; Xenon headlights; Leather; High beam assist; Rain sensor; Light sensor; Lane assist
toyota corolla,61184837,Toyota,Corolla,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,Hybrid,Automatic,4x2,90,89,Euro 6,51968,01/07/2020,Used,3.3,19349,0,1798,Digital cockpit; Smart key; Adaptive cruise control; Keyless ignition; Voice control; Navigation system; Heated steering wheel; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning
skoda karoq,61184844,Skoda,Karoq,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x2,110,126,Euro 6d,9966,01/01/2023,Demonstration car,5.6,37299,1,1498,LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition; Voice control; Navigation system
peugeot 5008,61184828,Peugeot,5008,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,7,Diesel,Automatic,4x2,96,107,Euro 6,6000,01/11/2023,Used,5.6,52299,0,1499,Adaptive cruise control; Keyless ignition; Automatic multi-zone A/C; Voice control; Navigation system; Traffic sign recognition; Rear parking camera; Automatic lights; Rain sensor; Lane assist
audi q2,61184833,Audi,Q2,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x2,85,118,Euro 6,48957,01/11/2020,Used,4.5,29199,0,1598,WLAN/Wifi hotspot; Keyless ignition; Navigation system; Sport front seats; Rear parking camera; Sport-suspension system; Automatic A/C; Automatic lights; Rain sensor; Hill-start assist
bmw m240,61184843,BMW,M240,Black,Black interior,Full leather interior,Coupe,2/3 doors,4,Petrol,Automatic,4x4,275,185,Euro 6d,9900,01/03/2023,Used,8.1,55099,1,2998,Parking assist system self-steering; LED headlights; Digital cockpit; Harman/Kardon audio; Heated front seats; Integrated music streaming; Navigation system; Traffic sign recognition; Bluetooth; Adaptive lighting
volkswagen t-roc,61184834,Volkswagen,T-Roc,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,81,118,Euro 6,4896,01/05/2023,Used,6,27349,1,999,Digital cockpit; Bluetooth; Rear parking camera; Automatic A/C; Lane assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel; Automatic parking brake
audi q5,61184838,Audi,Q5,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x4,270,164,Euro 6,81318,01/08/2020,Used,7.2,45549,0,1984,Bluetooth; USB
volkswagen t-cross,61184839,Volkswagen,T-Cross,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,81,110,Euro 6,55875,01/06/2021,Used,5.8,18999,1,999,Voice control; Bluetooth; Rear parking camera; Automatic lights; Rain sensor; Parking sensors; Autom. dimming side mirros; Multifunctional steering wheel; Electrically heated side mirrors; Leather steering wheel
volkswagen t-cross,61184839,Volkswagen,T-Cross,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,81,110,Euro 6,55875,01/06/2021,Used,5.8,18999,1,999,Voice control; Bluetooth; Rear parking camera; Automatic lights; Rain sensor; Parking sensors; Autom. dimming side mirros; Multifunctional steering wheel; Electrically heated side mirrors; Leather steering wheel
volkswagen t-cross,61184831,Volkswagen,T-Cross,White,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,81,110,Euro 6,8363,01/11/2022,Used,5.8,21599,0,999,Adaptive cruise control; Rear parking camera; Automatic lights; Rain sensor; Lane assist; Hill-start assist; Front collision warning system; Autom. dimming side mirros; Multifunctional steering wheel; Side mirrors with electic adjustment
skoda superb,61184830,Skoda,Superb,Blue,Black interior,Cloth interior,Station Wagon,4/5 doors,5,Petrol,Automatic,4x2,140,140,Euro 6d-TEMP,63100,01/10/2019,Used,6.2,26949,1,1984,Parking assist system self-steering; LED headlights; Keyless entry; Front seats with memory; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming
cupra formentor,61184832,Cupra,Formentor,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Petrol,Automatic,4x4,228,175,No emission class,10,01/07/2023,New,7.7,49699,0,1984,Adaptive cruise control; Sport front seats; Bluetooth; Sport-suspension system; Automatic A/C; Rain sensor; Multifunctional steering wheel; Front electric windows; Alloy wheels
opel astra,61184836,Opel,Astra,Red,Other interior color,Cloth interior,Hatchback,4/5 doors,5,Hybrid,Automatic,4x2,165,109,Euro 6d-TEMP,9014,01/04/2022,Used,4.2,31449,0,1598,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay; Android auto; Keyless ignition; Voice control
nissan qashqai,61184841,Nissan,Qashqai,Grey,Grey interior,Other interior material,SUV / offroad,4/5 doors,2,Diesel,Manual,4x2,85,100,Euro 6,55794,01/01/2020,Used,4.2,20249,1,1500,Bluetooth; USB
peugeot 2008,61184827,Peugeot,2008,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x2,96,0,No emission class,8370,01/03/2023,Used,4.8,27249,0,1500,Bluetooth; USB
peugeot 208,61184840,Peugeot,208,Yellow,Black interior,Cloth interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,74,99,Euro 6,23574,01/06/2021,Used,5.5,20599,1,1199,Head-up display; Voice control; Navigation system; Traffic sign recognition; Automatic lights; Lane assist; Hill-start assist; Front collision warning system; Multifunctional steering wheel; Side mirrors with electic adjustment
volkswagen t-roc,61184820,Volkswagen,T-Roc,Silver,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x2,81,119,Euro 6,41534,01/05/2021,Used,6,22649,1,999,Digital cockpit; Voice control; Bluetooth; Automatic A/C; Hill-start assist; Parking sensors; Multifunctional steering wheel; Daytime running lights; Electrically heated side mirrors; Automatic parking brake
mercedes-benz b-200,61184818,Mercedes-Benz,B 200,Grey,Black interior,Cloth interior,MPV,4/5 doors,5,Diesel,Automatic,4x2,110,133,Euro 6,61341,01/09/2020,Used,5,29399,1,1950,WLAN/Wifi hotspot; Keyless ignition; Voice control; Navigation system; Parking cameras; Paddle shifters; Traffic sign recognition; Automatic A/C; Automatic lights; Rain sensor
volkswagen polo,61184825,Volkswagen,Polo,White,Black interior,Cloth interior,Sedans / saloons,4/5 doors,5,Petrol,Manual,4x2,59,110,Euro 6d-TEMP,30083,01/05/2019,Used,4.8,14149,2,999,Bluetooth; Light sensor; Hill-start assist; Front collision warning system; Side mirrors with electic adjustment; Daytime running lights; On-board computer; Start-stop system; USB; Front electric windows
mercedes-benz a-200,61184815,Mercedes-Benz,A 200,Red,Black interior,Other interior material,Sedans / saloons,4/5 doors,5,Diesel,Automatic,4x2,110,0,Euro 6,48775,01/08/2020,Used,4.8,31499,0,1950,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Heated front seats; WLAN/Wifi hotspot; Keyless ignition; Voice control; Navigation system; Paddle shifters
opel corsa,61184814,Opel,Corsa,Black,Other interior color,Cloth interior,Hatchback,4/5 doors,5,Electric,Automatic,4x2,100,0,No emission class,15560,01/01/2021,Used,5.534431978,25199,1,1499,LED headlights; Heated front seats; Apple CarPlay; Android auto; Heated steering wheel; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning; Adaptive lighting; Sport-suspension system
opel crossland,61184817,Opel,Crossland,Red,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,Diesel,Manual,4x2,88,111,Euro 6,43700,01/12/2017,Used,4.3,17949,2,1560,Heated rear seats; Parking assist system self-steering; LED headlights; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Panoramic roof
mini cooper-countryman,61184812,MINI,Cooper Countryman,Green,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Petrol,Manual,4x4,100,129,Euro 6,55047,01/12/2020,Used,5.6,23949,1,1499,LED headlights; Heated front seats; Apple CarPlay; Navigation system; Bluetooth; Induction charging for smartphones; Automatic A/C; Rain sensor; Multifunctional steering wheel; Side mirrors with electic adjustment
audi a6,61184824,Audi,A6,Grey,Black interior,Part leather interior,Station Wagon,4/5 doors,5,Diesel,Automatic,4x4,170,151,Euro 6d-TEMP,74100,01/07/2019,Used,5.8,37349,1,2967,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system
opel grandland,61184811,Opel,Grandland,Blue,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x2,96,103,Euro 6,30787,01/06/2021,Used,3.9,24749,0,1499,Automatic multi-zone A/C; Voice control; Navigation system; Traffic sign recognition; Adaptive lighting; Automatic lights; Rain sensor; Lane assist; Blind spot assist; Hill-start assist
mercedes-benz gle-350,61184819,Mercedes-Benz,GLE 350,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,Hybrid,Automatic,4x4,235,0,Euro 6,40981,01/12/2021,Used,4.8,93799,1,1950,Bluetooth; USB
mercedes-benz vito,61184823,Mercedes-Benz,Vito,Red,Black interior,Cloth interior,Cargo VAN,4/5 doors,5,Diesel,Manual,4x2,75,173,Euro 6d,84217,01/10/2020,Used,6.6,31699,1,1750,Bluetooth; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; On-board computer; USB; Front electric windows; Fixed trailer coupling
audi q5,61184816,Audi,Q5,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,Diesel,Automatic,4x4,150,140,Euro 6d,23500,01/02/2023,Used,5.3,54849,1,1968,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming
citroen grand-c4-picasso---spacetourer,61184813,Citroen,Grand C4 Picasso / SpaceTourer,White,Black interior,Cloth interior,MPV,4/5 doors,7,Diesel,Automatic,4x2,96,135,Euro 6,99630,01/02/2022,Used,5.1,24199,1,1499,Adaptive cruise control; Keyless ignition; Automatic multi-zone A/C; Navigation system; Traffic sign recognition; Bi-xenon headlights; Rear parking camera; Automatic lights; Rain sensor; Lane assist
peugeot 208,61184822,Peugeot,208,Yellow,Other interior color,Cloth interior,Hatchback,4/5 doors,5,Petrol,Automatic,4x2,74,99,Euro 6d-TEMP,1570,01/11/2022,Used,5.5,25249,0,1199,LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; Navigation system; Traffic sign recognition; Bluetooth; Automatic A/C; Rain sensor
