,Power,Hybrid type,Range extender,Transmission,Doors,Model,Condition,Battery warranty (km),Mileage,Valid MOT until,Battery capacity,CO2 emissions,El. motor power,First registration,Energy efficiency,Battery type,Country of origin,DC charging time,Emission class,Fuel,Drive type,AC charging time,Secondary drive,Body,Make,Interior color,Engine power,CARNAME,Currency,Weight,Engine capacity,VIN,ID,Tags,Type of finish,Price,Consumption,Full service history,Interior material,Body color,Previous owners,Seats,Warranty until,Electric range
18,202 kW,,,Automatic,4/5 doors,XJ,,,160 000 km,,,159 g/km,,5/2014,,,,,Euro 5,Diesel,4x2,,,Sedans / saloons,Jaguar,Black interior,,jaguar xj,EUR,,2 993 ccm,not published by the seller,61188054,Heated rear seats; Keyless entry; Electric adjustable front seats; Meridian audio; Heated front seats; Keyless ignition; Soft close doors; Panoramic roof; Navigation system; El. tailgate,Metallic,23149,6.1 l/100km (combined),,Full leather interior,Black,2,5,,
19,140 kW,Mild hybrid,No,Automatic,4/5 doors,520,,,5 640 km,,,0 g/km,,7/2022,,,,,No emission class,Diesel,4x2,,,Station Wagon,BMW,Black interior,,bmw 520,EUR,,1 995 ccm,not published by the seller,61188060,Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay,Metallic,46899,,,Full leather interior,Black,1,5,,
20,135 kW,Full hybrid,No,Automatic,4/5 doors,C-HR,,,26 139 km,,1 kWh,92 g/km,80 kW,9/2021,,Nickel-metal hydride (NiMH),,,Euro 6d,Hybrid,4x2,,,SUV / offroad,Toyota,Black interior,112 kW,toyota c-hr,EUR,,1 987 ccm,not published by the seller,61188000,Parking assist system self-steering; LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Navigation system; Heated steering wheel,Metallic,24649,4 l/100km (combined); 3.7 l/100km (city); 4.2 l/100km ,,Cloth interior,Black,1,5,,
21,255 kW,,,Automatic,4/5 doors,S4,,,57 500 km,,,162 g/km,,10/2020,,,,,Euro 6d-TEMP,Diesel,4x4,,,Station Wagon,Audi,Black interior,,audi s4,EUR,,2 967 ccm,not published by the seller,61187983,LED headlights; Digital cockpit; Electric adjustable front seats; Integrated music streaming; Voice control; Paddle shifters; Sport front seats; Bluetooth; Sport-suspension system; Alcantara interior,,45099,6.2 l/100km (combined); 7.2 l/100km (city); 5.7 l/100km ,,Alcantara interior,Grey,1,5,,
22,140 kW,,,Automatic,4/5 doors,Kodiaq,,,120 000 km,12/2024,,150 g/km,,6/2017,,,,,Euro 6,Diesel,4x4,,,SUV / offroad,Skoda,Black interior,,skoda kodiaq,EUR,,1 968 ccm,not published by the seller,61187980,Ventilated front seats; LED headlights; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition; Panoramic roof,Metallic,26299,5.8 l/100km (combined); 6.6 l/100km (city); 5.3 l/100km ,,Full leather interior,Silver,2,5,,
23,245 kW,,,Automatic,4/5 doors,E 400,,,105 000 km,,,173 g/km,,5/2017,,,,,Euro 6,Petrol,4x4,,,Sedans / saloons,Mercedes-Benz,Black interior,,mercedes-benz e-400,EUR,,3 498 ccm,not published by the seller,61187960,Parking assist system self-steering; LED headlights; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay; Android auto; Integrated music streaming; Voice control,Metallic,30449,7.6 l/100km (combined); 10.5 l/100km (city); 5.9 l/100km ,,Full leather interior,Grey,2,5,,
24,110 kW,,,Automatic,4/5 doors,A3,New,,5 km,,,102 g/km,,9/2023,,,,,Euro 6d,Diesel,4x2,,,Sedans / saloons,Audi,Black interior,,audi a3,EUR,,1 968 ccm,not published by the seller,61187961,Parking assist system self-steering; LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; Navigation system; Glare-free high beam headlights; Sport front seats; Bluetooth,Metallic,44549,4.6 l/100km (combined),,Cloth interior,Black,,5,,
25,53 kW,,,Manual,2/3 doors,C1,,,27 458 km,,,85 g/km,,12/2019,,,,,Euro 6d-TEMP,Petrol,4x2,,,Hatchback,Citroen,Black interior,,citroen c1,EUR,,998 ccm,not published by the seller,61187964,Heated front seats; Apple CarPlay; Android auto; Bluetooth; Automatic A/C; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel,,12549,3.7 l/100km (combined); 4.3 l/100km (city); 3.4 l/100km ,,Other interior material,White,2,4,,
26,120 kW,,,Automatic,4/5 doors,GLA 200,,,4 610 km,,,130 g/km,,10/2021,,,,,Euro 6d,Petrol,4x2,,,SUV / offroad,Mercedes-Benz,Black interior,,mercedes-benz gla-200,EUR,,1 332 ccm,not published by the seller,61187971,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Panoramic roof,Metallic,44749,5.7 l/100km (combined); 7.2 l/100km (city); 5 l/100km ,,Part leather interior,Black,1,5,,
27,61 kW,,,Manual,4/5 doors,Swift,New,,10 km,,,95 g/km,,9/2023,,,,,No emission class,Petrol,4x4,,,Hatchback,Suzuki,Black interior,,suzuki swift,EUR,,1 197 ccm,not published by the seller,61187949,Parking assist system self-steering; LED headlights; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Traffic sign recognition; Bluetooth; High beam assist; Light sensor,Metallic,20799,5.4 l/100km (combined),,Cloth interior,Grey,,5,,
28,110 kW,,,Manual,4/5 doors,Sportage,,,20 100 km,,,144 g/km,,2/2023,,,,,Euro 6d,Petrol,4x2,,,SUV / offroad,Kia,Other interior color,,kia sportage,EUR,,1 598 ccm,not published by the seller,61187921,LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; Heated steering wheel; Traffic sign recognition; Automatic 2-zones air conditioning; Rain sensor; Light sensor,Metallic,26299,6.3 l/100km (combined); 7.8 l/100km (city); 5.5 l/100km ,,Cloth interior,Green,1,5,,
29,73 kW,,,Manual,4/5 doors,Partner,,,44 000 km,06/2024,,111 g/km,,6/2018,,,,,Euro 6,Diesel,4x2,,,Cargo VAN,Peugeot,Other interior color,,peugeot partner,EUR,,1 560 ccm,not published by the seller,61187924,Heated front seats; Navigation system; Bluetooth; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Cornering lights; On-board computer; Start-stop system,,18349,4.3 l/100km (combined); 4.7 l/100km (city); 3.9 l/100km ,,Other interior material,White,1,3,,
30,170 kW,,No,Manual,2/3 doors,Roadster,,,37 428 km,,,0 g/km,,8/2010,,,,,Euro 5,Petrol,4x2,,,Cabriolet,Morgan,Brown interior,,morgan roadster,EUR,,3 000 ccm,not published by the seller,61187912,Leather; On-board computer; Heated windshield; CD player,,70999,,,Full leather interior,Grey,5,2,,
31,195 kW,,,Automatic,4/5 doors,630 Gran Turismo,,,73 000 km,04/2024,,143 g/km,,4/2019,,,,,Euro 6d-TEMP,Diesel,4x2,,,Sedans / saloons,BMW,Brown interior,,bmw 630-gran-turismo,EUR,,2 993 ccm,not published by the seller,61187914,Ventilated front seats; Air suspension; Parking assist system self-steering; LED headlights; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; WLAN/Wifi hotspot; Panoramic roof,,40549,5.5 l/100km (combined); 6.5 l/100km (city); 4.9 l/100km ,,Full leather interior,White,1,5,,
32,484 kW,,No,Automatic,4/5 doors,EQS,Demonstration car,,5 050 km,02/2026,,0 g/km,,2/2023,,,,,No emission class,Electric,4x4,,,Sedans / saloons,Mercedes-Benz,Black interior,,mercedes-benz eqs,EUR,,,not published by the seller,61187909,Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Burmester audio; Heated front seats; Head-up display,Metallic,126749,0 kWh/100km (combined),,Cloth interior,Grey,1,5,,
33,110 kW,,,Manual,4/5 doors,Touran,,,96 700 km,,,130 g/km,,5/2016,,,,,Euro 6,Petrol,4x2,,,MPV,Volkswagen,Black interior,,volkswagen touran,EUR,,1 395 ccm,not published by the seller,61187886,Parking assist system self-steering; LED headlights; Adaptive cruise control; Heated front seats; Integrated music streaming; Navigation system; Bluetooth; High beam assist; Rain sensor; Light sensor,Metallic,20949,5.7 l/100km (combined); 6.9 l/100km (city); 5 l/100km ,,Cloth interior,Grey,1,5,,
34,70 kW,,,Manual,4/5 doors,Rapid,,,119 458 km,03/2025,,103 g/km,,5/2018,,,,,No emission class,Petrol,4x2,,,Hatchback,Skoda,Black interior,,skoda rapid,EUR,,999 ccm,not published by the seller,61187875,Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Voice control; Bi-xenon headlights; Bluetooth; Adaptive lighting; Automatic A/C; Rain sensor,,10899,4.5 l/100km (combined); 5.2 l/100km (city); 3.9 l/100km ,,Cloth interior,White,,5,,
35,330 kW,,,Automatic,4/5 doors,750,,,145 000 km,,,192 g/km,,5/2016,,,,,Euro 6,Petrol,4x4,,,Sedans / saloons,BMW,Black interior,,bmw 750,EUR,,4 395 ccm,not published by the seller,61187864,Laser headlights; Driver's seat with massage function; Heated rear seats; Air suspension; Parking assist system self-steering; Digital cockpit; Keyless entry; Smart key; Electric adjustable front seats; Adaptive cruise control,Metallic,39799,8.3 l/100km (combined); 11.6 l/100km (city); 6.3 l/100km ,,Full leather interior,Black,2,5,,
36,59 kW,,,Manual,4/5 doors,Ibiza,,,103 000 km,02/2025,,112 g/km,,11/2019,,,,,Euro 6,Petrol,4x2,,,Hatchback,Seat,Black interior,,seat ibiza,EUR,,999 ccm,not published by the seller,61187857,Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Glare-free high beam headlights; Sport front seats; Traffic sign recognition; Bluetooth; Light sensor,,10749,5 l/100km (combined); 6.1 l/100km (city); 4.3 l/100km ,,Other interior material,White,1,5,,
37,150 kW,,,Automatic,4/5 doors,T6 Multivan,,,79 600 km,,,178 g/km,,8/2018,,,,,Euro 6,Diesel,4x4,,,MPV/VAN,Volkswagen,Black interior,,volkswagen t6-multivan,EUR,,1 968 ccm,not published by the seller,61187832,Parking assist system self-steering; LED headlights; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Panoramic roof; Voice control,,50099,6.8 l/100km (combined); 8.1 l/100km (city); 6.1 l/100km ,,Alcantara interior,White,3,7,,
38,195 kW,,,Automatic,4/5 doors,X5,,,143 000 km,,,0 g/km,,6/2019,,,,,Euro 6c,Diesel,4x4,,,SUV / offroad,BMW,Beige interior,,bmw x5,EUR,,2 993 ccm,not published by the seller,61187829,Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot,,50049,6.7 l/100km (city); 5.7 l/100km ,,Full leather interior,Black,1,5,,
39,386 kW,,,Automatic,4/5 doors,Defender,,,5 100 km,,,340 g/km,,7/2023,,,,,Euro 6d,Petrol,4x4,,,SUV / offroad,Land Rover,Black interior,,land-rover defender,EUR,,4 999 ccm,not published by the seller,61187817,Ventilated front seats; Heated rear seats; Air suspension; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Meridian audio; Heated front seats,Metallic,126699,15.1 l/100km (combined),,Full leather interior,White,1,5,,
40,195 kW,,,Automatic,4/5 doors,X5,,,143 000 km,,,0 g/km,,6/2019,,,,,Euro 6c,Diesel,4x4,,,SUV / offroad,BMW,Beige interior,,bmw x5,EUR,,2 993 ccm,not published by the seller,61187829,Air suspension; Parking assist system self-steering; LED headlights; Digital cockpit; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot,,50049,6.7 l/100km (city); 5.7 l/100km ,,Full leather interior,Black,1,5,,
41,110 kW,,,Automatic,4/5 doors,Karoq,Used,,24 850 km,,,135 g/km,,7/2023,,,,,Euro 6d,Diesel,4x4,,,SUV / offroad,Skoda,Black interior,,skoda karoq,EUR,,1 968 ccm,not published by the seller,61187821,Heated rear seats; LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Voice control,Metallic,37199,5.1 l/100km (combined),,Cloth interior,Black,1,5,,
42,386 kW,,,Automatic,4/5 doors,Defender,,,5 100 km,,,340 g/km,,7/2023,,,,,Euro 6d,Petrol,4x4,,,SUV / offroad,Land Rover,Black interior,,land-rover defender,EUR,,4 999 ccm,not published by the seller,61187817,Ventilated front seats; Heated rear seats; Air suspension; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Meridian audio; Heated front seats,Metallic,126699,15.1 l/100km (combined),,Full leather interior,White,1,5,,
43,66 kW,,,Automatic,4/5 doors,ForFour,,,38 000 km,,,99 g/km,,8/2016,,,,,Euro 6,Petrol,4x2,,,Hatchback,Smart,Black interior,,smart forfour,EUR,,898 ccm,not published by the seller,61187820,Heated front seats; Panoramic roof; Voice control; Navigation system; Bluetooth; Leather; Automatic A/C; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment,Metallic,14299,4.3 l/100km (combined); 5.2 l/100km (city); 3.6 l/100km ,,Full leather interior,Red,2,4,,
44,100 kW,,,Manual,4/5 doors,Vito,,,115 527 km,,,186 g/km,,12/2019,,,,,Euro 6,Diesel,4x2,,,Cargo VAN,Mercedes-Benz,Black interior,,mercedes-benz vito,EUR,,2 143 ccm,not published by the seller,61187801,Parking assist system self-steering; LED headlights; Navigation system; Bluetooth; Hill-start assist; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment; On-board computer; Start-stop system,Metallic,25499,7.1 l/100km (combined); 8.4 l/100km (city); 5.8 l/100km ,,Cloth interior,Silver,1,2,,
45,60 kW,,No,Automatic,2/3 doors,ForTwo,,100000 km,11 200 km,,18 kWh,0 g/km,,12/2019,,Lithium-ion (Li-ion),,,Euro 6d-TEMP,Electric,4x2,1 h,,Hatchback,Smart,Black interior,,smart fortwo,EUR,,,not published by the seller,61187791,Heated front seats; Integrated music streaming; Panoramic roof; Voice control; Navigation system; Sport front seats; Bluetooth; Sport-suspension system; Leather; Automatic A/C,,14199,13 kWh/100km (combined),,Full leather interior,Grey,1,2,,
46,177 kW,Plug-in hybrid,No,Automatic,4/5 doors,Compass,,,18 076 km,07/2024,44 kWh,125 g/km,,7/2021,,,,,Euro 6d,Hybrid,4x4,,,SUV / offroad,Jeep,Black interior,,jeep compass,EUR,,1 332 ccm,not published by the seller,61187778,Parking assist system self-steering; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Panoramic roof; Navigation system; Heated steering wheel,Metallic,31499,5.4 l/100km (combined),,Full leather interior,Black,1,5,,
47,190 kW,Mild hybrid,No,Automatic,4/5 doors,E 300,,,31 646 km,,,0 g/km,,9/2022,,,,,Euro 6d,Petrol,4x2,,,Sedans / saloons,Mercedes-Benz,Black interior,,mercedes-benz e-300,EUR,,1 991 ccm,not published by the seller,61187764,LED headlights; Digital cockpit; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay; Android auto; Voice control; Navigation system,Metallic,41899,,,Alcantara interior,Black,2,5,,
48,77 kW,,,Manual,4/5 doors,Golf,,,155 629 km,,,134 g/km,,7/2012,,,,,No emission class,Petrol,4x2,,,Hatchback,Volkswagen,Black interior,,volkswagen golf,EUR,,1 197 ccm,not published by the seller,61187762,Heated front seats; Navigation system; Sport front seats; Bi-xenon headlights; Bluetooth; Automatic 2-zones air conditioning; Rain sensor; Light sensor; Hill-start assist; Parking sensors,,8899,5.7 l/100km (combined); 7.1 l/100km (city); 4.9 l/100km ,,Part leather interior,Red,,5,,
49,150 kW,,No,Automatic,4/5 doors,ID.4,,160000 km,4 690 km,,77 kWh,0 g/km,,12/2020,,Lithium-ion (Li-ion),,,Euro 6,Electric,4x2,,,SUV / offroad,Volkswagen,Grey interior,,volkswagen id.4,EUR,,,not published by the seller,61187748,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Smartphone mirroring; Apple CarPlay; Android auto,Metallic,45799,,,Cloth interior,Grey,2,5,,
50,77 kW,,,Manual,4/5 doors,Ibiza,,,133 815 km,08/2024,,124 g/km,,5/2013,,,,,Euro 5,Petrol,4x2,,,Hatchback,Seat,Black interior,,seat ibiza,EUR,,1 197 ccm,not published by the seller,61187718,Heated front seats; Voice control; Navigation system; Bluetooth; Automatic A/C; Rain sensor; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel,Metallic,6899,5.3 l/100km (combined); 6.8 l/100km (city); 4.5 l/100km ,,Cloth interior,Black,4,5,,
51,62 kW,,,Manual,4/5 doors,Stonic,Used,,6 000 km,11/2025,,116 g/km,,11/2022,,,,,Euro 6,Petrol,4x2,,,SUV / offroad,Kia,Black interior,,kia stonic,EUR,,1 197 ccm,not published by the seller,61187712,Heated front seats; Apple CarPlay; Android auto; Voice control; Heated steering wheel; Bluetooth; Automatic A/C; Light sensor; Lane assist; Hill-start assist,Metallic,19699,5.1 l/100km (combined); 6.5 l/100km (city); 4.3 l/100km ,,Cloth interior,Grey,,5,,
52,160 kW,,,Automatic,4/5 doors,CLA 250 Shooting Brake,Used,,17 500 km,,,24 g/km,,4/2023,,,,,Euro 6d,Hybrid,4x2,,,Station Wagon,Mercedes-Benz,Black interior,,mercedes-benz cla-250-shooting-brake,EUR,,1 332 ccm,not published by the seller,61187710,Parking assist system self-steering; LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Voice control; Navigation system,,47899,1.1 l/100km (combined),,Part leather interior,Black,,5,,
53,130 kW,,,Automatic,4/5 doors,Sportage,,,33 500 km,,,175 g/km,,11/2019,,,,,Euro 6d-TEMP,Petrol,4x4,,,SUV / offroad,Kia,Other interior color,,kia sportage,EUR,,1 591 ccm,not published by the seller,61187698,Heated rear seats; Keyless entry; Electric adjustable front seats; Heated front seats; Keyless ignition; Panoramic roof; Navigation system; El. tailgate; Sport front seats; Traffic sign recognition,Metallic,28799,7.6 l/100km (combined); 9.1 l/100km (city); 6.8 l/100km ,,Part leather interior,Orange,1,5,,
